,Sector
이수페타시스,전자부품 제조업
이수화학,기초 화학물질 제조업
이스타코,부동산 임대 및 공급업
이아이디,기타 전문 도매업
이연제약,의약품 제조업
이월드,유원지 및 기타 오락관련 서비스업
이지닷컴,전자부품 제조업
이화산업,기타 전문 도매업
인디에프,봉제의복 제조업
인스코비,전기 통신업
인지컨트롤스,자동차 신품 부품 제조업
인천도시가스,연료용 가스 제조 및 배관공급업
인천정유,석유 정제품 제조업
인켈,통신 및 방송 장비 제조업
인터지스,도로 화물 운송업
인터피온반도체,반도체 제조업
인팩,자동차 신품 부품 제조업
일동제약,의약품 제조업
일동홀딩스,기타 금융업
일성건설,토목 건설업
일성신약,의약품 제조업
일신방직,방적 및 가공사 제조업
일신석재,"건축자재, 철물 및 난방장치 도매업"
일양약품,의약품 제조업
일은증권,금융 지원 서비스업
일정실업,편조원단 제조업
일진,절연선 및 케이블 제조업
일진다이아,기타 화학제품 제조업
일진디스플,반도체 제조업
일진머티리얼즈,전자부품 제조업
일진전기,절연선 및 케이블 제조업
일진홀딩스,기타 금융업
잇츠한불,기타 화학제품 제조업
자화전자,전자부품 제조업
장기신용은행,은행 및 저축기관
장은증권,금융 지원 서비스업
전기초자,유리 및 유리제품 제조업
전방,방적 및 가공사 제조업
전북은행,은행 및 저축기관
전진산업,nan
제로원인터랙티브,기타 정보 서비스업
제이에스코퍼레이션,"가죽, 가방 및 유사제품 제조업"
제이준코스메틱,기타 화학제품 제조업
제일기획,광고업
제일냉동,"도축, 육류 가공 및 저장 처리업"
제일모직,합성고무 및 플라스틱 물질 제조업
제일약품,의약품 제조업
제일연마,기타 비금속 광물제품 제조업
제일은행,은행 및 저축기관
제일저축은행,은행 및 저축기관
제일종합금융,기타 금융업
제일파마홀딩스,회사 본부 및 경영 컨설팅 서비스업
제일화재,보험업
제주은행,은행 및 저축기관
제주항공,항공 여객 운송업
조광페인트,기타 화학제품 제조업
조광피혁,"가죽, 가방 및 유사제품 제조업"
조비,"비료, 농약 및 살균, 살충제 제조업"
조선내화,"내화, 비내화 요업제품 제조업"
조선선재,기타 금속 가공제품 제조업
조인에너지,기타 전문 도매업
조일알미늄,1차 비철금속 제조업
조흥,기타 식품 제조업
조흥은행,은행 및 저축기관
종근당,의약품 제조업
종근당바이오,의약품 제조업
종근당홀딩스,기타 금융업
주연테크,컴퓨터 및 주변장치 제조업
주택은행,은행 및 저축기관
중국고섬,회사 본부 및 경영 컨설팅 서비스업
중국원양자원,회사 본부 및 경영 컨설팅 서비스업
중앙건설,건물 건설업
중앙제지,"펄프, 종이 및 판지 제조업"
중앙종금,기타 금융업
중원,편조원단 제조업
지엠비코리아,자동차 신품 부품 제조업
지역난방공사,"증기, 냉·온수 및 공기조절 공급업"
지코,자동차 신품 부품 제조업
지투알,회사 본부 및 경영 컨설팅 서비스업
진도,기타 전문 도매업
진도물산,"가죽, 가방 및 유사제품 제조업"
진로종합식품,비알코올음료 및 얼음 제조업
진성레미컨,"시멘트, 석회, 플라스터 및 그 제품 제조업"
진양산업,플라스틱제품 제조업
진양폴리우레탄,기초 화학물질 제조업
진양홀딩스,기타 금융업
진양화학,플라스틱제품 제조업
진에어,항공 여객 운송업
진원생명과학,의약품 제조업
진흥기업,토목 건설업
진흥저축은행,은행 및 저축기관
참엔지니어링,특수 목적용 기계 제조업
천일고속,육상 여객 운송업
청구,건물 건설업
청솔종합금융,기타 금융업
청호컴넷,일반 목적용 기계 제조업
체시스,자동차 신품 부품 제조업
충북은행,은행 및 저축기관
충청은행,은행 및 저축기관
카스코,자동차 신품 부품 제조업
카카오,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
카프로,기초 화학물질 제조업
캠브리지코오롱,봉제의복 제조업
캡스,nan
컨버즈,"골판지, 종이 상자 및 종이용기 제조업"
케드콤,통신 및 방송 장비 제조업
케이비물산,기타 전문 도매업
케이씨,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
케이씨씨,기타 화학제품 제조업
케이씨오에너지,자동차 신품 부품 제조업
케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
케이씨티시,도로 화물 운송업
케이엠에이치,절연선 및 케이블 제조업
케이티,전기 통신업
케이티스,기타 정보 서비스업
케이티스카이라이프,텔레비전 방송업
케이티앤지,담배 제조업
케이피케미칼,기초 화학물질 제조업
코리아써키트,전자부품 제조업
코리아오토글라스,유리 및 유리제품 제조업
코리안리,재 보험업
코스맥스,기타 화학제품 제조업
코스맥스비티아이,기타 금융업
코스모신소재,기타 화학제품 제조업
코스모화학,기타 화학제품 제조업
코아스,가구 제조업
코오롱,기타 금융업
코오롱글로벌,토목 건설업
코오롱머티리얼,화학섬유 제조업
코오롱아이넷,소프트웨어 개발 및 공급업
코오롱유화,합성고무 및 플라스틱 물질 제조업
코오롱인더,화학섬유 제조업
코오롱인터,상품 종합 도매업
코오롱플라스틱,합성고무 및 플라스틱 물질 제조업
코원에너지서비스,연료용 가스 제조 및 배관공급업
코웨이,그외 기타 개인 서비스업
콤텍시스템,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
쿠쿠홀딩스,가정용 기기 제조업
쿠쿠홈시스,개인 및 가정용품 임대업
큐로,일반 목적용 기계 제조업
크라운제과,기타 식품 제조업
크라운해태홀딩스,기타 금융업
키다리스튜디오,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
키움증권,금융 지원 서비스업
키위미디어그룹,기타 전문 도매업
태경산업,기초 화학물질 제조업
태경화학,기초 화학물질 제조업
태광산업,화학섬유 제조업
태림페이퍼,"펄프, 종이 및 판지 제조업"
태림포장,"골판지, 종이 상자 및 종이용기 제조업"
태양금속공업,자동차 신품 부품 제조업
태양이앤테크,플라스틱제품 제조업
태영건설,토목 건설업
태영판지공업,"펄프, 종이 및 판지 제조업"
태원물산,자동차 신품 부품 제조업
태일전자,nan
태일정밀,컴퓨터 및 주변장치 제조업
태창기업,"섬유제품 염색, 정리 및 마무리 가공업"
태평양물산,봉제의복 제조업
태평양제약,의약품 제조업
태화,상품 종합 도매업
태화쇼핑,종합 소매업
태흥피혁공업,"가죽, 가방 및 유사제품 제조업"
테이팩스,플라스틱제품 제조업
텔코웨어,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
토니모리,기타 화학제품 제조업
티비에이치글로벌,봉제의복 제조업
티에이치엔,기타 전기장비 제조업
티엘씨레저,유원지 및 기타 오락관련 서비스업
티웨이항공,항공 여객 운송업
티웨이홀딩스,반도체 제조업
티이씨앤코,절연선 및 케이블 제조업
파미셀,기초 의약물질 및 생물학적 제제 제조업
파브코,자동차 신품 부품 제조업
팜스코,"곡물가공품, 전분 및 전분제품 제조업"
팬오션,해상 운송업
팬택,통신 및 방송 장비 제조업
팬택앤큐리텔,통신 및 방송 장비 제조업
퍼스텍,무기 및 총포탄 제조업
퍼시스,가구 제조업
퍼시픽글라스,유리 및 유리제품 제조업
페이퍼코리아,"펄프, 종이 및 판지 제조업"
평산차업 KDR,회사 본부 및 경영 컨설팅 서비스업
평화산업,자동차 신품 부품 제조업
평화홀딩스,기타 금융업
포스코,1차 철강 제조업
포스코강판,1차 철강 제조업
포스코대우,상품 중개업
포스코플랜텍,토목 건설업
폴루스바이오팜,통신 및 방송 장비 제조업
풀무원,기타 금융업
풀무원f,상품 중개업
풍산,1차 비철금속 제조업
풍산홀딩스,기타 금융업
피앤텍,"펄프, 종이 및 판지 제조업"
피어리스,기타 화학제품 제조업
필룩스,전자부품 제조업
하나금융지주,기타 금융업
하나은행,은행 및 저축기관
하나은행f,은행 및 저축기관
하나제약,의약품 제조업
하나증권,금융 지원 서비스업
하나투어,여행사 및 기타 여행보조 서비스업
하이스틸,1차 철강 제조업
하이트론씨스템즈,영상 및 음향기기 제조업
하이트맥주,비알코올음료 및 얼음 제조업
하이트진로,알코올음료 제조업
하이트진로홀딩스,기타 금융업
한국가스공사,연료용 가스 제조 및 배관공급업
한국공항,기타 운송관련 서비스업
한국금융지주,기타 금융업
한국기술산업,절연선 및 케이블 제조업
한국내화,"내화, 비내화 요업제품 제조업"
한국단자공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
한국물산,편조원단 제조업
한국벨트,고무제품 제조업
한국석유공업,기타 비금속 광물제품 제조업
한국수출포장공업,"골판지, 종이 상자 및 종이용기 제조업"
한국쉘석유,석유 정제품 제조업
한국신금,nan
한국안전유리,유리 및 유리제품 제조업
한국유리공업,유리 및 유리제품 제조업
한국자산신탁,신탁업 및 집합투자업
한국저축은행,은행 및 저축기관
한국전력공사,전기업
한국전자홀딩스,기타 금융업
한국제지,"펄프, 종이 및 판지 제조업"
한국종금,기타 금융업
한국종합기술,"건축기술, 엔지니어링 및 관련 기술 서비스업"
한국주강,특수 목적용 기계 제조업
한국주철관공업,1차 철강 제조업
한국철강,1차 철강 제조업
한국카본,"구조용 금속제품, 탱크 및 증기발생기 제조업"
한국컴퓨터지주,컴퓨터 및 주변장치 제조업
한국콜마,기타 화학제품 제조업
한국콜마홀딩스,기타 금융업
한국타이어,고무제품 제조업
한국타이어월드와이드,기타 금융업
한국토지신탁,신탁업 및 집합투자업
한국특수형강,1차 철강 제조업
한국프랜지공업,자동차 신품 부품 제조업
한국합섬,직물직조 및 직물제품 제조업
한국항공우주,"항공기,우주선 및 부품 제조업"
한국화장품,생활용품 도매업
한국화장품제조,기타 화학제품 제조업
한길종합금융,기타 금융업
한농화성,기타 화학제품 제조업
한독,의약품 제조업
한라,토목 건설업
한라시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업"
한라홀딩스,기타 금융업
한메NS,전자부품 제조업
한미글로벌,"건축기술, 엔지니어링 및 관련 기술 서비스업"
한미반도체,특수 목적용 기계 제조업
한미사이언스,기타 금융업
한미약품,의약품 제조업
한미은행,은행 및 저축기관
한별텔레콤,전자부품 제조업
한보철강,1차 철강 제조업
한샘,생활용품 도매업
한섬,봉제의복 제조업
한성기업,수산물 가공 및 저장 처리업
한세실업,봉제의복 제조업
한세엠케이,"섬유, 의복, 신발 및 가죽제품 소매업"
한세예스24홀딩스,기타 금융업
한솔로지스틱스,기타 운송관련 서비스업
한솔아트원제지,"펄프, 종이 및 판지 제조업"
한솔제지,"펄프, 종이 및 판지 제조업"
한솔종합금융,기타 금융업
한솔케미칼,기초 화학물질 제조업
한솔테크닉스,전자부품 제조업
한솔피엔에스,기타 전문 도매업
한솔홀딩스,기타 금융업
한솔홈데코,제재 및 목재 가공업
한스종금,기타 금융업
한신공영,건물 건설업
한신기계공업,일반 목적용 기계 제조업
한양증권,금융 지원 서비스업
한온시스템,일반 목적용 기계 제조업
한올바이오파마,의약품 제조업
한외종합금융,기타 금융업
한익스프레스,도로 화물 운송업
한일방직,방적 및 가공사 제조업
한일시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업"
한일약품,의약품 제조업
한일은행,은행 및 저축기관
한일철강,1차 철강 제조업
한일현대시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업"
한일홀딩스,"시멘트, 석회, 플라스터 및 그 제품 제조업"
한전KPS,전기 및 통신 공사업
한전기술,"건축기술, 엔지니어링 및 관련 기술 서비스업"
한전산업,"건축기술, 엔지니어링 및 관련 기술 서비스업"
한주전자,전자부품 제조업
한주통산,기타 전문 도매업
한주화학,기타 전문 도매업
한진,도로 화물 운송업
한진건설,토목 건설업
한진중공업,토목 건설업
한진중공업홀딩스,기타 금융업
한진칼,기타 금융업
한진해운,해상 운송업
한창,기계장비 및 관련 물품 도매업
한창제지,"펄프, 종이 및 판지 제조업"
한화,기타 화학제품 제조업
한화갤러리아타임월드,종합 소매업
한화기계,일반 목적용 기계 제조업
한화생명,보험업
한화손해보험,보험업
한화에어로스페이스,"항공기,우주선 및 부품 제조업"
한화종합금융,기타 금융업
한화케미칼,기초 화학물질 제조업
한화투자증권,금융 지원 서비스업
한화화인케미칼,기초 화학물질 제조업
항도종합금융,기타 금융업
해동금고,은행 및 저축기관
해성디에스,전자부품 제조업
해태유업,낙농제품 및 식용빙과류 제조업
해태제과,기타 식품 제조업
해태제과식품,기타 식품 제조업
핸즈코퍼레이션,자동차 신품 부품 제조업
허메스홀딩스,통신 및 방송 장비 제조업
현대DSF,종합 소매업
현대건설,토목 건설업
현대건설기계,일반 목적용 기계 제조업
현대그린푸드,종합 소매업
현대글로비스,기타 운송관련 서비스업
현대금속,기타 금속 가공제품 제조업
현대로템,철도장비 제조업
현대리바트,가구 제조업
현대리바트f,가구 제조업
현대모비스,자동차 신품 부품 제조업
현대미포조선,선박 및 보트 건조업
현대반도체,반도체 제조업
현대백화점,종합 소매업
현대비앤지스틸,1차 철강 제조업
현대상선,해상 운송업
현대약품,의약품 제조업
현대에이치씨엔,텔레비전 방송업
현대엘리베이터,일반 목적용 기계 제조업
현대오토넷,전자부품 제조업
현대울산종금,기타 금융업
현대위아,자동차 신품 부품 제조업
현대일렉트릭,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
현대자동차,자동차용 엔진 및 자동차 제조업
현대제철,1차 철강 제조업
현대종합금융,기타 금융업
현대종합상사,상품 종합 도매업
현대중공업,선박 및 보트 건조업
현대중공업지주,기타 금융업
현대증권,금융 지원 서비스업
현대차서비스,자동차 판매업
현대차증권,금융 지원 서비스업
현대코퍼레이션홀딩스,음·식료품 및 담배 도매업
현대페인트,기타 화학제품 제조업
현대푸드,음식점업
현대하이스코,1차 철강 제조업
현대해상,보험업
현대홈쇼핑,무점포 소매업
형지엘리트,봉제의복 제조업
형진건설,nan
혜인,기계장비 및 관련 물품 도매업
호남식품,비알코올음료 및 얼음 제조업
호승,"가죽, 가방 및 유사제품 제조업"
호전실업,봉제의복 제조업
호텔신라,기타 상품 전문 소매업
화성산업,건물 건설업
화승알앤에이,자동차 신품 부품 제조업
화승엔터프라이즈,기타 금융업
화승인더스트리,플라스틱제품 제조업
화신,자동차 신품 부품 제조업
화인베스틸,1차 철강 제조업
화인자산관리,기타 금융업
화천기계,특수 목적용 기계 제조업
화천기공,특수 목적용 기계 제조업
환인제약,의약품 제조업
황금에스티,1차 비철금속 제조업
효성,화학섬유 제조업
효성 ITX,기타 사업지원 서비스업
효성물산,기타 전문 도매업
효성중공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
효성첨단소재,화학섬유 제조업
효성티앤씨,화학섬유 제조업
효성화학,기초 화학물질 제조업
후성,기초 화학물질 제조업
훈영,"영화, 비디오물, 방송프로그램 제작 및 배급업"
휠라코리아,생활용품 도매업
휴니드테크놀러지스,통신 및 방송 장비 제조업
휴리프,전자부품 제조업
휴비스,화학섬유 제조업
휴스틸,1차 철강 제조업
휴켐스,기타 화학제품 제조업
흥국화재,보험업
흥아해운,해상 운송업
흥양,전자부품 제조업
